population,max_iteration,satisfaction,cost,selected_albums,repetition,completed_on
50,50,0,0,0,0,22:54:57.212554
50,50,0,0,0,1,22:54:57.313356
50,50,0,0,0,2,22:54:57.412650
50,50,0,0,0,3,22:54:57.513862
50,50,0,0,0,4,22:54:57.613811
50,50,0,0,0,5,22:54:57.716169
50,50,0,0,0,6,22:54:57.817034
50,50,0,0,0,7,22:54:57.920367
50,50,0,0,0,8,22:54:58.020670
50,50,0,0,0,9,22:54:58.122809
100,50,0,0,0,0,22:54:58.266500
100,50,0,0,0,1,22:54:58.408265
100,50,0,0,0,2,22:54:58.553283
100,50,0,0,0,3,22:54:58.699302
100,50,0,0,0,4,22:54:58.843871
100,50,0,0,0,5,22:54:58.987920
100,50,0,0,0,6,22:54:59.135481
100,50,19,212.0,9,7,22:54:59.280188
100,50,24,226.0,8,8,22:54:59.424101
100,50,38,228.0,10,9,22:54:59.569353
150,50,27,231.0,10,0,22:54:59.757532
150,50,0,0,0,1,22:54:59.944190
150,50,0,0,0,2,22:55:00.135013
150,50,0,0,0,3,22:55:00.320810
150,50,0,0,0,4,22:55:00.506104
150,50,0,0,0,5,22:55:00.718116
150,50,0,0,0,6,22:55:00.910858
150,50,0,0,0,7,22:55:01.101052
150,50,0,0,0,8,22:55:01.288697
150,50,0,0,0,9,22:55:01.475779
200,50,0,0,0,0,22:55:01.701030
200,50,32,225.0,9,1,22:55:01.926670
200,50,0,0,0,2,22:55:02.162473
200,50,0,0,0,3,22:55:02.396098
200,50,27,229.0,10,4,22:55:02.628207
200,50,39,231.0,10,5,22:55:02.858426
200,50,0,0,0,6,22:55:03.088643
200,50,0,0,0,7,22:55:03.316945
200,50,0,0,0,8,22:55:03.545447
200,50,0,0,0,9,22:55:03.777106
250,50,28,224.0,10,0,22:55:04.052942
250,50,0,0,0,1,22:55:04.323359
250,50,25,212.0,8,2,22:55:04.599155
250,50,0,0,0,3,22:55:04.874738
250,50,0,0,0,4,22:55:05.143082
250,50,0,0,0,5,22:55:05.416708
250,50,28,201.0,10,6,22:55:05.699236
250,50,0,0,0,7,22:55:05.976227
250,50,0,0,0,8,22:55:06.244576
250,50,27,192.0,8,9,22:55:06.511381
300,50,27,211.0,9,0,22:55:06.818312
300,50,0,0,0,1,22:55:07.126189
300,50,0,0,0,2,22:55:07.435219
300,50,0,0,0,3,22:55:07.745777
300,50,0,0,0,4,22:55:08.055261
300,50,0,0,0,5,22:55:08.382831
300,50,45,227.0,12,6,22:55:08.696876
300,50,34,227.0,10,7,22:55:09.011343
300,50,46,221.0,11,8,22:55:09.322725
300,50,34,227.0,10,9,22:55:09.639470
350,50,0,0,0,0,22:55:09.989951
350,50,27,232.0,8,1,22:55:10.339712
350,50,0,0,0,2,22:55:10.688261
350,50,0,0,0,3,22:55:11.038505
350,50,0,0,0,4,22:55:11.392384
350,50,0,0,0,5,22:55:11.752730
350,50,0,0,0,6,22:55:12.106329
350,50,27,222.0,9,7,22:55:12.459158
350,50,32,228.0,9,8,22:55:12.819792
350,50,0,0,0,9,22:55:13.177752
400,50,45,226.0,11,0,22:55:13.569894
400,50,46,232.0,11,1,22:55:13.969255
400,50,0,0,0,2,22:55:14.369757
400,50,48,228.0,12,3,22:55:14.753132
400,50,0,0,0,4,22:55:15.157065
400,50,32,227.0,11,5,22:55:15.550231
400,50,0,0,0,6,22:55:15.955494
400,50,31,230.0,11,7,22:55:16.360154
400,50,0,0,0,8,22:55:16.760059
400,50,48,232.0,11,9,22:55:17.150893
450,50,0,0,0,0,22:55:17.586500
450,50,27,227.0,9,1,22:55:18.035558
450,50,0,0,0,2,22:55:18.473870
450,50,0,0,0,3,22:55:18.908003
450,50,29,218.0,9,4,22:55:19.345396
450,50,0,0,0,5,22:55:19.773508
450,50,44,226.0,11,6,22:55:20.220791
450,50,0,0,0,7,22:55:20.651489
450,50,31,230.0,12,8,22:55:21.081090
450,50,37,230.0,11,9,22:55:21.511567
500,50,35,228.0,10,0,22:55:21.981666
500,50,48,231.0,12,1,22:55:22.461772
500,50,31,179.0,10,2,22:55:22.943512
500,50,27,230.0,9,3,22:55:23.423011
500,50,30,223.0,10,4,22:55:23.905711
500,50,23,227.0,10,5,22:55:24.380657
500,50,31,222.0,11,6,22:55:24.853466
500,50,28,227.0,9,7,22:55:25.323606
500,50,28,224.0,10,8,22:55:25.798612
500,50,47,228.0,11,9,22:55:26.276083
550,50,0,0,0,0,22:55:26.802778
550,50,29,230.0,10,1,22:55:27.324669
550,50,48,226.0,11,2,22:55:27.847745
550,50,34,230.0,10,3,22:55:28.386429
550,50,32,213.0,10,4,22:55:28.921397
550,50,40,223.0,12,5,22:55:29.446059
550,50,31,228.0,9,6,22:55:29.966547
550,50,48,231.0,12,7,22:55:30.487335
550,50,23,228.0,9,8,22:55:31.009533
550,50,25,231.0,7,9,22:55:31.528070
600,50,27,206.0,9,0,22:55:32.087474
600,50,30,213.0,10,1,22:55:32.656545
600,50,30,231.0,10,2,22:55:33.220340
600,50,24,219.0,8,3,22:55:33.787229
600,50,0,0,0,4,22:55:34.347299
600,50,0,0,0,5,22:55:34.901847
600,50,34,215.0,9,6,22:55:35.458782
600,50,28,225.0,10,7,22:55:36.016121
600,50,0,0,0,8,22:55:36.572408
600,50,33,221.0,10,9,22:55:37.136469
650,50,40,227.0,10,0,22:55:37.746430
650,50,0,0,0,1,22:55:38.352302
650,50,28,222.0,11,2,22:55:38.963625
650,50,34,229.0,10,3,22:55:39.577925
650,50,28,200.0,10,4,22:55:40.211311
650,50,33,226.0,10,5,22:55:40.868903
650,50,40,232.0,11,6,22:55:41.601333
650,50,29,227.0,9,7,22:55:42.307726
650,50,48,228.0,12,8,22:55:43.048044
650,50,27,231.0,9,9,22:55:43.816309
700,50,28,217.0,10,0,22:55:44.557145
700,50,38,226.0,11,1,22:55:45.285828
700,50,32,226.0,11,2,22:55:45.997635
700,50,21,216.0,7,3,22:55:46.646705
700,50,34,216.0,10,4,22:55:47.282140
700,50,37,232.0,11,5,22:55:47.925844
700,50,0,0,0,6,22:55:48.567201
700,50,19,193.0,9,7,22:55:49.204034
700,50,40,231.0,11,8,22:55:49.842411
700,50,37,211.0,11,9,22:55:50.480109
750,50,30,230.0,9,0,22:55:51.159516
750,50,22,231.0,8,1,22:55:51.840301
750,50,0,0,0,2,22:55:52.530105
750,50,31,203.0,10,3,22:55:53.226421
750,50,34,219.0,10,4,22:55:53.913153
750,50,36,225.0,11,5,22:55:54.594174
750,50,27,205.0,8,6,22:55:55.270940
750,50,43,228.0,11,7,22:55:55.947430
750,50,0,0,0,8,22:55:56.633872
750,50,37,231.0,11,9,22:55:57.323107
800,50,0,0,0,0,22:55:58.043551
800,50,0,0,0,1,22:55:58.761842
800,50,0,0,0,2,22:55:59.498376
800,50,26,216.0,9,3,22:56:00.219702
800,50,30,224.0,10,4,22:56:00.939308
800,50,34,197.0,8,5,22:56:01.658401
800,50,30,231.0,10,6,22:56:02.394821
800,50,27,232.0,8,7,22:56:03.119869
800,50,26,227.0,9,8,22:56:03.845981
800,50,0,0,0,9,22:56:04.561919
850,50,48,232.0,11,0,22:56:05.332836
850,50,29,229.0,8,1,22:56:06.095704
850,50,30,229.0,9,2,22:56:06.852566
850,50,27,232.0,10,3,22:56:07.617014
850,50,32,224.0,10,4,22:56:08.384265
850,50,27,212.0,11,5,22:56:09.148278
850,50,33,163.0,9,6,22:56:09.914724
850,50,48,232.0,11,7,22:56:10.672238
850,50,27,174.0,9,8,22:56:11.432259
850,50,32,227.0,10,9,22:56:12.203997
900,50,34,232.0,10,0,22:56:13.033030
900,50,24,214.0,8,1,22:56:13.867739
900,50,0,0,0,2,22:56:14.683558
900,50,33,223.0,10,3,22:56:15.498477
900,50,38,223.0,11,4,22:56:16.326640
900,50,30,228.0,10,5,22:56:17.139116
900,50,29,227.0,10,6,22:56:17.954887
900,50,0,0,0,7,22:56:18.772349
900,50,33,214.0,9,8,22:56:19.583201
900,50,0,0,0,9,22:56:20.393958
950,50,29,215.0,10,0,22:56:21.244484
950,50,38,225.0,11,1,22:56:22.088157
950,50,40,231.0,10,2,22:56:22.929987
950,50,0,0,0,3,22:56:23.773518
950,50,35,230.0,11,4,22:56:24.621569
950,50,33,230.0,9,5,22:56:25.471863
950,50,33,223.0,10,6,22:56:26.315994
950,50,39,225.0,11,7,22:56:27.162341
950,50,31,220.0,9,8,22:56:28.007672
950,50,27,203.0,8,9,22:56:28.853495
1000,50,0,0,0,0,22:56:29.742774
1000,50,20,220.0,7,1,22:56:30.626904
